model,stockage,couleur,etat,prix,lien
iPhone 12,64,Bleu,État correct,689.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Bleu,Très bon état,712.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Bleu,Parfait état,726.00,https://www.backmarket.fr/iphone-12-64-go-bleu-debloque-tout-operateur-pas-cher/418121.html#l=12
iPhone 12,64,Noir,État correct,675.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Noir,Très bon état,708.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12,64,Noir,Parfait état,744.00,https://www.backmarket.fr/iphone-12-64-go-noir-debloque-tout-operateur-pas-cher/418114.html#l=12
iPhone 12 mini,64,Bleu,État correct,563.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Bleu,Très bon état,587.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Bleu,Parfait état,590.00,https://www.backmarket.fr/iphone-12-mini-64-go-bleu-debloque-tout-operateur-pas-cher/412289.html#l=12
iPhone 12 mini,64,Noir,État correct,560.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=12
iPhone 12 mini,64,Noir,Très bon état,580.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=12
iPhone 12 mini,64,Noir,Parfait état,603.00,https://www.backmarket.fr/iphone-12-mini-64-go-noir-debloque-tout-operateur-pas-cher/412290.html#l=12
iPhone 12 Pro,128,Bleu pacifique,État correct,871.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=11
iPhone 12 Pro,128,Bleu pacifique,Très bon état,863.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=11
iPhone 12 Pro,128,Bleu pacifique,Parfait état,925.00,https://www.backmarket.fr/iphone-12-pro-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413174.html#l=11
iPhone 12,128,Bleu,État correct,729.90,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=12
iPhone 12,128,Bleu,Très bon état,739.90,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=12
iPhone 12,128,Bleu,Parfait état,750.00,https://www.backmarket.fr/iphone-12-128-go-bleu-debloque-tout-operateur-pas-cher/418120.html#l=12
iPhone 12,128,Noir,État correct,730.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=10
iPhone 12,128,Noir,Très bon état,740.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=10
iPhone 12,128,Noir,Parfait état,808.00,https://www.backmarket.fr/iphone-12-128-go-noir-debloque-tout-operateur-pas-cher/418115.html#l=10
iPhone 12 Pro,128,Graphite,État correct,868.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=11
iPhone 12 Pro,128,Graphite,Très bon état,859.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=11
iPhone 12 Pro,128,Graphite,Parfait état,975.00,https://www.backmarket.fr/iphone-12-pro-128-go-graphite-debloque-tout-operateur-pas-cher/413171.html#l=11
iPhone 12,64,Blanc,État correct,686.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12,64,Blanc,Très bon état,709.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12,64,Blanc,Parfait état,750.00,https://www.backmarket.fr/iphone-12-64-go-blanc-debloque-tout-operateur-pas-cher/418117.html#l=12
iPhone 12 Pro Max,128,Bleu pacifique,État correct,912.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=11
iPhone 12 Pro Max,128,Bleu pacifique,Très bon état,947.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=11
iPhone 12 Pro Max,128,Bleu pacifique,Parfait état,975.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413834.html#l=11
iPhone 12,64,(PRODUCT)Red,État correct,680.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=12
iPhone 12,64,(PRODUCT)Red,Très bon état,692.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=12
iPhone 12,64,(PRODUCT)Red,Parfait état,724.00,https://www.backmarket.fr/iphone-12-64-go-productred-debloque-tout-operateur-pas-cher/418119.html#l=12
iPhone 12,64,Vert,État correct,683.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12,64,Vert,Très bon état,700.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12,64,Vert,Parfait état,730.00,https://www.backmarket.fr/iphone-12-64-go-vert-debloque-tout-operateur-pas-cher/418123.html#l=12
iPhone 12 mini,128,Bleu,État correct,601.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,128,Bleu,Très bon état,640.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,128,Bleu,Parfait état,627.00,https://www.backmarket.fr/iphone-12-mini-128-go-bleu-debloque-tout-operateur-pas-cher/412303.html#l=12
iPhone 12 mini,64,Blanc,État correct,611.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=11
iPhone 12 mini,64,Blanc,Très bon état,594.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=11
iPhone 12 mini,64,Blanc,Parfait état,606.00,https://www.backmarket.fr/iphone-12-mini-64-go-blanc-debloque-tout-operateur-pas-cher/412287.html#l=11
iPhone 12 mini,128,Noir,État correct,610.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 mini,128,Noir,Très bon état,655.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 mini,128,Noir,Parfait état,645.00,https://www.backmarket.fr/iphone-12-mini-128-go-noir-debloque-tout-operateur-pas-cher/412299.html#l=12
iPhone 12 Pro,128,Or,État correct,868.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=11
iPhone 12 Pro,128,Or,Très bon état,863.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=11
iPhone 12 Pro,128,Or,Parfait état,909.00,https://www.backmarket.fr/iphone-12-pro-128-go-or-debloque-tout-operateur-pas-cher/413175.html#l=11
iPhone 12 Pro Max,256,Bleu pacifique,État correct,949.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=11
iPhone 12 Pro Max,256,Bleu pacifique,Très bon état,939.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=11
iPhone 12 Pro Max,256,Bleu pacifique,Parfait état,998.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413846.html#l=11
iPhone 12 mini,64,(PRODUCT)Red,État correct,562.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,Très bon état,584.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12 mini,64,(PRODUCT)Red,Parfait état,594.00,https://www.backmarket.fr/iphone-12-mini-64-go-productred-debloque-tout-operateur-pas-cher/412292.html#l=12
iPhone 12,128,Blanc,État correct,729.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=12
iPhone 12,128,Blanc,Très bon état,740.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=12
iPhone 12,128,Blanc,Parfait état,789.00,https://www.backmarket.fr/iphone-12-128-go-blanc-debloque-tout-operateur-pas-cher/418116.html#l=12
iPhone 12 Pro,256,Bleu pacifique,État correct,939.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=11
iPhone 12 Pro,256,Bleu pacifique,Très bon état,887.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=11
iPhone 12 Pro,256,Bleu pacifique,Parfait état,999.00,https://www.backmarket.fr/iphone-12-pro-256-go-bleu-pacifique-debloque-tout-operateur-pas-cher/413184.html#l=11
iPhone 12 Pro,128,Argent,État correct,947.07,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=10
iPhone 12 Pro,128,Argent,Très bon état,891.00,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=10
iPhone 12 Pro,128,Argent,Parfait état,909.00,https://www.backmarket.fr/iphone-12-pro-128-go-argent-debloque-tout-operateur-pas-cher/413172.html#l=10
iPhone 12 mini,128,Blanc,État correct,660.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=11
iPhone 12 mini,128,Blanc,Très bon état,630.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=11
iPhone 12 mini,128,Blanc,Parfait état,639.00,https://www.backmarket.fr/iphone-12-mini-128-go-blanc-debloque-tout-operateur-pas-cher/412301.html#l=11
iPhone 12 Pro Max,128,Graphite,État correct,953.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12 Pro Max,128,Graphite,Très bon état,944.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12 Pro Max,128,Graphite,Parfait état,1031.00,https://www.backmarket.fr/iphone-12-pro-max-128-go-graphite-debloque-tout-operateur-pas-cher/413837.html#l=11
iPhone 12,128,(PRODUCT)Red,État correct,725.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12,128,(PRODUCT)Red,Très bon état,746.00,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12,128,(PRODUCT)Red,Parfait état,744.90,https://www.backmarket.fr/iphone-12-128-go-productred-debloque-tout-operateur-pas-cher/418118.html#l=12
iPhone 12,64,Mauve,État correct,720.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=10
iPhone 12,64,Mauve,Parfait état,735.00,https://www.backmarket.fr/iphone-12-64-go-mauve-debloque-tout-operateur-pas-cher/475946.html#l=10
iPhone 12 Pro Max,256,Graphite,État correct,966.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=11
iPhone 12 Pro Max,256,Graphite,Très bon état,955.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=11
iPhone 12 Pro Max,256,Graphite,Parfait état,1089.00,https://www.backmarket.fr/iphone-12-pro-max-256-go-graphite-debloque-tout-operateur-pas-cher/413847.html#l=11
iPhone 12,128,Vert,Très bon état,740.00,https://www.backmarket.fr/iphone-12-128-go-vert-debloque-tout-operateur-pas-cher/418122.html#l=11
iPhone 12,128,Vert,Parfait état,770.00,https://www.backmarket.fr/iphone-12-128-go-vert-debloque-tout-operateur-pas-cher/418122.html#l=11
iPhone 12 mini,64,Mauve,Très bon état,632.90,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
iPhone 12 mini,64,Mauve,Parfait état,600.00,https://www.backmarket.fr/iphone-12-mini-64-go-mauve-debloque-tout-operateur-pas-cher/476085.html#l=10
